author_id;publication_id
93;163158,148605,147988,163157,140769,140502,163154,134264,131451,126637,124177,120597,120491
94;184196,175342,171719,155399,155395,152807,121192,121174,111321,111066,111061
95;184196,166163,155399,155395,151038,140334,130111,130090,115951,111064,111048,134101
96;183409,167824,150822,149772,148015,141958,138013,138012,137803,137676,132473,131467,131448,131392,127271,125787,124741,123165,130101,130093,130088,125569,121287,121259,121250,121198,119051,111053
97;184932,184196,171719,166163,155399,155395,151038,140334,130111,130090,115951,111064,111061,111060,134101
98;184932,184196,178946,170835,155399,155395,140334,131815,127478,130113,121222,115951,103603
99;182978,170832,147053,146149,143917,138681,134281,129920,127635,126078,140685
100;184458,180892,180538,151663,151612,151611,146149,134507,135596,131536,130038,130018,127639,125867,125197,134799,134801,135722,134693,134602
101;185263,185134,182031,181541,181164,180891,171719,153269,144234,177736,142055,141105,136549,132620,134034,129556,125814,122845,120327,120243,109700
102;184226,184197,179092,170007,165392,165391,165388,165387,165383,155060,147260,147259,147218,147214,140094,138823,138336,138323,138321,138006,137783,137704,137483,137105,135368,135365,135364,135359,135228,135226,135224,135217,138939,132225,131609,130771,130769,129068,126087,126064,126034,125983,125913,122945,122124,122120,122114,122034,122022,122021,121877,121848,121805,120560,120535,120522,120246,120107,117840,115853,114369
103;120671,120664
104;177370,176491,171595,170665,167710,160754,160525,149029,148891,147628,141817,135263,133010,131307,134240,120664,120283,134241,134238,119145,103582,101397,134242,100646,95038,100727
105;176010,175552,172355,156942,148329,139575,138943,138910,138166,134342,134029,115939,112540,109736,100664,100663,100748
106;165893,165892,165891,126234,125592,121769,121765,113171,113150,112325,100631,100777,100735
107;186283,185006,184194,166426,145994,139525,176937,141823,130622,126091,125592,125572,120933,120916,120528,113176,113156,113154,113127,100672,100755,100734
108;181522,182355,176932,176843,176596,173205,171619,145037,141186,134756,132771,124629,122366,104515,103536,100740
109;180320,171719,165934,165893,165892,156893,165891,165919,125592,124465,113403,113158,100656,100635,100757,100756
110;169357,163286,134786,131930,131929,131383,131382,127533,127442,127441,131807,116910,116901,115850,108555
111;180330,182051,179126,179120,171719,157402,157399,157384,157364,154378,154628,154627,152372,152370,149038,145065,142683,142680,142677,142672,138188,138181,137390,137388,135081,135079,137904,126899,126866,126863,126193,123778,135536,99023
112;185263,185141,185134,182181,182031,181541,181221,181164,180892,180891,172326,157352,156151,153746,150207,144234,143623,140389,138820,138448,138190,138189,136488,136165,130675,130642,129556,129325,126854,126841,126267,126266,125814,121205,124756,120476,115191,135529,135524,135519,135424,134907
113;168811,144766,142453,142369,142368,141872,136667,142366,133138,133137,133100,133098,133097,133096,133095,133094,133093,133091,133084,133082,130995,128085,142472,142470,114716,114528,107397,134638
114;137671,114734,114058,134562
117;187203,185433,176408,167301,164474,144272,130679,124715,123365,119362,115851,113071,105324,104128,104023,98782,100718
118;187203,165051,146736,146284,142258,140620,100649
119;171719,166100,165110,154712,147115,142348,122785,112996,104508
120;184031,140620,98706
121;137723,134547,134411,134410,128057,93764
122;171473,148075,147027,137640
123;168835,135314,132268,132238,132226,103921,95630
124;142105
125;186576,185111,182696,166588,141255,137034,125561,125560,124097,120693,118520,116107,114521,114282,113762,113760,113486,134677,102883
126;187203,184361,177569,177492,165051,151081,150541,148942,148941,148871,151080,150623,150385,142263,142258,140493,138178,135865,132271,132260,131392,131134,131133,123550,123365,121198,120854,120848,119767,119504,116803,113044,112732,112552,111275,104654
127;183933,180334,162030,151080,150623,132274,132271,120848,113044,112552,111275,124330,104508
128;179804,177868,173712,140373,127537,127533,116283,108388,117911,113883,102407,114866,108122
129;141028,112999,112997,99622
130;181912,177272,176642,162230,160682,160677,160620,153414,141193,140707,140703,136936,129662,129650,126137,113163,112478,108415,101773
131;183581,182249,168511,168486,160472,160478,157201,157198,139428,131243,129633,126804
132;176445,169541,157198,141349,140590,137978,137969,123190,120210,114646,112488,108991,107454,106829
133;125227
134;179804,177868,177318,162230,156274,156272,147927,140694,125824,108162,113880
135;156274,106845
136;176081,176079,169828,152354,171606,149050,146569,145436,141734,140928,139635,139632,122722,122141,121522,117765,112488,111322,110686,98031
137;140424
138;162342,148576,133217,130667,127527,124858,143645,113628
139;182281,182208,182129,176539,160670,157239,153417,153415,149132,148576,143309,143308,141213,141197,141195,141192,141215,141038,141034,141028,140989,140929,171729,133217,131708,129665,117094,117093,117092,113804,113641,113163,112919,112915,112510,108415,101773,101772,101758,99622
140;176539,151415,148576,141192,141028,171729,133217,129665,117094,117093,112915,101758
141;123335
142;171566,171560,163112,162312,153396,148903,141282,140962,140822,140390,139756,130701,130692,130390,129358,127498,127477,127424,124694,123707,123333,122985,122984,122935,122931,122650,122649,120266,113480,113112,113102,113042,113035,109018
143;171092,162646,162316,160503,140099,134860,133356,131935,122875,117583,115395,113698,109621,109094,108446,106956
144;169724,169454,168977,155774,153803,146077,143677,143370,143368,143358,137604,133917,132172,131989,123146,117592,112334,109119,108502,108342
145;184168,174124,171829,171828,167908,165967,150532,145552,143686,142761,140197,140066,139598,139588,133714,133354,131311,124624,122364,121415,120180,112342,111950,111289,109089,100762
146;163391,149032,148846,146877,146875,143635,140727,136694,136690,129941,129730,128535,128353,122354,122352,120829,120594,114814,110009,106900,105776,105771,102696
147;174805,174789,168538,165379,163391,162306,162297,160997,160995,160260,149032,148655,146875,140727,137916,136694,136690,129941,129925,129923,129730,128623,128535,126039,123010,122948,122043,121787,121782,120829,120594,114814,112908,110009
