author_id;publication_id
319;184832,184830,184800,184203,184795,176502,170117,170115,169959,169866,169852,184778,184777,161671,151683,150608,149645,148703,148700,139462,139454,139444,125999,106839,106831,106737,106736
320;180495,169204,136331,116035
321;169207,133128,131107,108020
322;122441,122436,108740
324;165325,136068
325;186827,182468,181279,177752,175750,172274,172268,165985,149855,149512,126348,124223,113630
327;185050,184935,183011,180567,179751,172183,172131,170112,169139,164493,163915,163914,162658,157219,157010,149391,138102,135811,128333,123917,118178,113843,111971
328;186206,183380,179274,179273,181247,173273,138117,138112,130817,128718,128120
329;185850,185849,185847,176184,173200,170539,174033,169443,169441,169439,169438,156823,156817,156855,156832,139966,138812,130587,129871,108674,108479,100937
330;136100,133838
331;170315,166943,153553
332;170549,152105,149998,117247,114046,114044
333;185542,185413,184316,172268,173936,167775,166611,166077,165332,164610,164379,155997,150001,148775,133235,130144,118876,114045,113633
335;146831,140276,139540,139342
336;179279,166611,166610,153614,140283,139309,114091
337;170991,165000,156231,154224,141156,138110,138108
338;154214,136892
339;173394,170218,144787
341;145406,132821
342;183702,182876,171760,169829,169827,169246,169170,166139,166136,148959,148687,146240,144254,138384,134434,128832,117691,106407
343;161393,133065,128743,127658,127096
344;177966,169791,161393,152603,145408
345;186504,184768,183796,183794,183793,183584,182158,181699,181697,181053,179431,178088,176864,173636,175234,175229,172793,170976,170973,170970,170916,186508,186506,169557,169556,166386,166385,166304,164764,157394,153973,152224,152214,146172,145417,144653,144650,140565,140213,137501,133934,132717,127658,126989,122063,115905,115900,115426
346;172705,136144,126621,123886,107911,97828
347;180939,178941,174287,172703,169176,156245,143497,107538
348;182634,137223,136163,98549
349;184372,181231,181225,174237,173143,169781,168610,165010,152265,152259,152212,146226,142121,137026,127716,114202
350;169761,169758,146236,146235,138143
351;183799,183798,174243,170618,170617,166013,156043,156057,143860,142660
352;181231,180036,148864,139333,127716,110753,107459
353;182605,169773,168690,167525,167522,167520,153177,152265,145080,120072,128129,128131
354;107466
355;180287,175445,174552,171037,170585,166430,166113,165339,124490,117353,116232,107668
356;151770,131806,130340,117721
357;123230
358;170413,170389,163949,142306
359;153058,143109
360;184294,182277,175125,175111,173160,146595,112278
361;164119,163105,128034,127397
362;184699,116469
363;187348,184265,184138,179494,172622,172099,163953,146590,115423,123454,123459,94794,123463,123464
364;132019,115083,100119
365;177757,149748,114933,111000,107642
366;187338,172509,171884,164408,152148,125178,106713
367;171589,167363,164841,153067,118236,115797,117764
368;128102,123782
369;123628,118157
370;182793,148146,162806,147997,134445
372;186837,184490,184491,179353,176208,172772,172767,174381,149882,140661,135502,135305,121909,102963,101056,100323,132050,101358,101116,101111,99573,91485,132058
373;164867,138275,132759,123347,118600,115343,126722
374;168264,157096,136130,131611,109377,104746,97548,91630
375;145718,109270
376;184399,177375,169209,166269,157035,153176,125206
377;176346,171819,166264,160574,118148,114695,108193
379;173169,176570,155769,133058
